n_subject,coef_type,rep,seed,success,error_message,elapsed_seconds,covariance_mode,signal_bandwidth_input,signal_bandwidth_method,best_signal_bandwidth,variance_bandwidth_input,variance_bandwidth_method,best_variance_bandwidth,sigma2_true,sigma2_function,a_eval_mode,a_eval_selected_points,rho_true,rho_error,miae_iid,rmise_iid,beta_mae_iid,beta_rmse_iid,miae_final,rmise_final,beta_mae_final,beta_rmse_final,sigma2_miae,sigma2_rmise,rho_abs_error,Sigma_fro_error
2000,base2,0,123,1,,2123.6330642700195,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.1448141315700332,0.036531160284393946,0.04995398198833048,0.025922406056441805,0.03437436479991169,0.03209196021582971,0.043624706264509684,0.02757167919441185,0.034268245529174284,0.19800730334010022,0.25189750726695437,0.1448141315700332,
2000,base2,0,123,1,,2061.6018812283874,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.9,-0.22640180567870105,0.037341891692163225,0.05112459679706038,0.028769388771932983,0.0385774002566462,0.02550284811886772,0.03486178323857975,0.03128626871217889,0.03800076761325707,0.19841509623071935,0.2556319838756775,0.22640180567870105,
5000,base2,0,123,1,,2457.3811327517033,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.0,-0.006398822014341574,0.02234673027378332,0.029046701431102037,0.009541916739858353,0.01048427213568227,0.022282185174468255,0.028970677029594234,0.008873580929620262,0.009888958197263426,0.10240148285487408,0.12157683646061809,0.006398822014341574,
5000,base2,0,123,1,,4702.540190022439,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.3,-0.036828544357593196,0.022988093865562845,0.029523511187926347,0.005143989177053165,0.006156690380543501,0.022225696056688886,0.028537323686566987,0.005100025616853368,0.005706656315111951,0.11143956646138235,0.13304747351541937,0.036828544357593196,
5000,base2,0,123,1,,4035.9739183075726,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.6,-0.07070260584053567,0.023001052199252584,0.029544478745636954,0.005739715493060488,0.006963573005181883,0.020140037429339352,0.025743832809438837,0.005489005284616974,0.006166492280979112,0.11217473155500611,0.13504975503940067,0.07070260584053567,
5000,base2,0,123,1,,3305.533782210201,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,mixed,anchor_grid,500,0.9,-0.10471882453109338,0.022931302648535656,0.02954597781496725,0.006351855306559323,0.007840651879440282,0.01564117064290961,0.019818191094432745,0.005938988503308304,0.007038420469188308,0.11240517149568766,0.1365823736889164,0.10471882453109338,
2000,base2,0,123,1,,1395.0600714159664,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.0,-0.03626611666128309,0.0352672995271566,0.04685771149754734,0.02340406412985538,0.024120290193179413,0.0354697459575517,0.04713485676768286,0.024084627764314886,0.024667853753384483,0.21935393899691388,0.25532904621001995,0.03626611666128309,
2000,base2,0,123,1,,1502.2814624670427,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.3,-0.053878459392920075,0.035125218384183296,0.04706485275425192,0.02337758278359231,0.030903922202625608,0.03417874729431959,0.04555939188836335,0.023748360229856866,0.030395561488859347,0.19791867027140028,0.22608753543877227,0.053878459392920075,
2000,base2,0,123,1,,1388.5343113959534,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.6,-0.13348764542080843,0.03567327344824005,0.047940982341686575,0.026127827155144917,0.03490175331917311,0.03138835874664555,0.041919978388357156,0.027488874464174765,0.034270846365607247,0.19224793850172076,0.2215287440935615,0.13348764542080843,
2000,base2,0,123,1,,1391.94934982399,exchangeable_varying_sigma,0.18,fixed,0.18,0.18,fixed,0.18,1.0,sin,anchor_grid,500,0.9,-0.21442754614176185,0.03652695603486785,0.04908858340964292,0.028765509649192403,0.03882262079254026,0.024825666602160634,0.03341428803720074,0.03122089399426782,0.03794366294463692,0.19002459502374247,0.22070768316826814,0.21442754614176185,
