image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,5,5,1,0.3,36.3,-0.11493237229520213,-0.14787233889966256,-0.03293996660446043,0.2125215537035007,-0.6210895440972456,0.23768770484052967,0.95,percentile,500,273,True
roi,1,6,6,1,0.3,36.3,0.352062942609283,0.4062840855384109,0.054221142929127886,0.18100514165109238,0.031122497068717003,0.7809000156081944,0.95,percentile,500,273,True
roi,1,7,1,2,0.3,36.3,0.11389700010095634,0.16447723906618564,0.0505802389652293,0.192112162518975,-0.20226593275848379,0.5283830543075696,0.95,percentile,500,273,True
roi,1,8,2,2,0.3,36.3,-0.14360830492146723,-0.15132580205623625,-0.007717497134769019,0.24425985333693065,-0.6382062001776885,0.3178355146784616,0.95,percentile,500,273,True
roi,1,9,3,2,0.3,36.3,0.6343702811852807,0.6171098593992518,-0.017260421786028934,0.2994864846962816,0.01473199716904526,1.212259129055853,0.95,percentile,500,273,True
roi,1,10,4,2,0.3,36.3,-1.0453222918214025,-1.028071442163497,0.017250849657905354,0.31721581046065034,-1.6540969723435015,-0.4323329158052934,0.95,percentile,500,273,True
roi,1,11,5,2,0.3,36.3,-0.7380809951909905,-0.7190372172580637,0.019043777932926775,0.26199795894310146,-1.2642728102389837,-0.22335489337464193,0.95,percentile,500,273,True
roi,1,12,6,2,0.3,36.3,0.44914442911015534,0.4669118552072329,0.017767426097077543,0.16831396842346055,0.13150309309406968,0.8067384576203506,0.95,percentile,500,273,True
roi,1,1,1,1,0.31,36.91,-0.11496054954398707,-0.04090149076518966,0.07405905877879741,0.2494315893473786,-0.5181143114504368,0.4470516258900757,0.95,percentile,500,273,True
roi,1,2,2,1,0.31,36.91,0.25263813083881165,0.19123335155902713,-0.06140477927978452,0.29009494596095936,-0.3499726230568151,0.7823543715542962,0.95,percentile,500,273,True
roi,1,3,3,1,0.31,36.91,-0.012228549223293349,0.03424959114037721,0.04647814036367056,0.23579808239224886,-0.376273753325802,0.49116193938291236,0.95,percentile,500,273,True
roi,1,4,4,1,0.31,36.91,0.09133414227929697,0.12673010830279408,0.03539596602349711,0.2267073515983946,-0.28432827342295874,0.5862481197672307,0.95,percentile,500,273,True
roi,1,5,5,1,0.31,36.91,-0.1253694201044395,-0.15936333583861617,-0.03399391573417668,0.21439291770314672,-0.6402395056549719,0.22791933618133822,0.95,percentile,500,273,True
roi,1,6,6,1,0.31,36.91,0.35614553227825074,0.41109159251642374,0.054946060238173,0.18105123362173178,0.03761003096312642,0.791879023858585,0.95,percentile,500,273,True
roi,1,7,1,2,0.31,36.91,0.11881284270519486,0.16848251965059954,0.04966967694540468,0.1899793439252875,-0.18889980883537025,0.5280391945542747,0.95,percentile,500,273,True
roi,1,8,2,2,0.31,36.91,-0.1473122740238954,-0.1530018688532936,-0.005689594829398181,0.2440363450645439,-0.6359123799925931,0.31733787342029385,0.95,percentile,500,273,True
roi,1,9,3,2,0.31,36.91,0.6252057750304996,0.6049780093044786,-0.02022776572602092,0.29875521686007517,0.00024961483733971265,1.1956966143381211,0.95,percentile,500,273,True
roi,1,10,4,2,0.31,36.91,-1.0448645383747452,-1.025129728255632,0.019734810119113266,0.3184240365159003,-1.6488222146493698,-0.42585792631902103,0.95,percentile,500,273,True
roi,1,11,5,2,0.31,36.91,-0.7500161680009405,-0.7309716529824996,0.019044515018440955,0.2641584360409007,-1.2776397810931397,-0.236144576239702,0.95,percentile,500,273,True
roi,1,12,6,2,0.31,36.91,0.45056472268618214,0.46964573265105186,0.019081009964869722,0.16937110573849118,0.12818369464315027,0.8108130043337798,0.95,percentile,500,273,True
roi,1,1,1,1,0.32,37.519999999999996,-0.10768053831333,-0.03362902339580446,0.07405151491752554,0.2444821752338017,-0.5084843683962255,0.4425889376925412,0.95,percentile,500,273,True
roi,1,2,2,1,0.32,37.519999999999996,0.23860593716287626,0.17626214573903978,-0.062343791423836475,0.290338219422325,-0.38141988898955903,0.7658407916544117,0.95,percentile,500,273,True
roi,1,3,3,1,0.32,37.519999999999996,-0.0056927370106727125,0.04202323460524154,0.047715971615914246,0.23813476747609752,-0.3726973972536866,0.5017029301441867,0.95,percentile,500,273,True
roi,1,4,4,1,0.32,37.519999999999996,0.09605259812008127,0.13273837329620958,0.03668577517612831,0.22789971029806413,-0.276382577277803,0.5879473758298227,0.95,percentile,500,273,True
roi,1,5,5,1,0.32,37.519999999999996,-0.13554355128803536,-0.17066780509736054,-0.035124253809325184,0.2165462738561664,-0.6492803476665939,0.22364058367571452,0.95,percentile,500,273,True
