image_type,rank,block,block_row,block_col,t,age,A_hat,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower_pointwise,ci_upper_pointwise,confidence_level,ci_method,n_success,local_support_pairs,support_ok
roi,1,9,3,2,0.07,22.27,0.6423380884971014,0.6640744616841626,0.02173637318706123,0.3062581996681156,0.13852183585388142,1.340062343881874,0.95,percentile,500,271,True
roi,1,10,4,2,0.07,22.27,-0.9306155433845901,-0.9678511299946503,-0.03723558661006021,0.3283252392312998,-1.682706193876764,-0.37807169353675846,0.95,percentile,500,271,True
roi,1,11,5,2,0.07,22.27,-0.4269227864132807,-0.4592622933936062,-0.032339506980325505,0.26677742557308187,-1.0109876218907932,0.009460962429203095,0.95,percentile,500,271,True
roi,1,12,6,2,0.07,22.27,0.37293101182401533,0.40631712858136176,0.03338611675734643,0.19456226916489158,0.051211490370321015,0.7839139652709685,0.95,percentile,500,271,True
roi,1,1,1,1,0.08,22.88,-0.4232594176474793,-0.3791952320094051,0.04406418563807424,0.3863756614289741,-1.1077650517243736,0.37123676158707775,0.95,percentile,500,271,True
roi,1,2,2,1,0.08,22.88,0.6551598576761203,0.6377309586602942,-0.017428899015826116,0.34262608995264465,-0.06770072280817058,1.2917415384987112,0.95,percentile,500,271,True
roi,1,3,3,1,0.08,22.88,-0.2805463586527425,-0.2841709229106395,-0.0036245642578969783,0.2810693275965616,-0.7856118792161789,0.24747805377543702,0.95,percentile,500,271,True
roi,1,4,4,1,0.08,22.88,-0.14534050848916016,-0.13642120798621984,0.00891930050294032,0.2749060729169768,-0.6608297482444174,0.42199458583980043,0.95,percentile,500,271,True
roi,1,5,5,1,0.08,22.88,0.20828745783552088,0.17009858651568086,-0.03818887131984003,0.2077906652859799,-0.2551054182180987,0.544270424614214,0.95,percentile,500,271,True
roi,1,6,6,1,0.08,22.88,0.14828144193891818,0.20917355434689483,0.06089211240797665,0.17922863082492851,-0.1468368743605024,0.568019295861539,0.95,percentile,500,271,True
roi,1,7,1,2,0.08,22.88,-0.07073551925468462,-0.006975779994459411,0.06375973926022521,0.27383386942999083,-0.5523261169496521,0.49492955537523176,0.95,percentile,500,271,True
roi,1,8,2,2,0.08,22.88,0.09879655419407198,0.04743045706255817,-0.051366097131513806,0.28060236519386444,-0.5048526777088459,0.5456193933173427,0.95,percentile,500,271,True
roi,1,9,3,2,0.08,22.88,0.6477515568712028,0.6696851461082266,0.02193358923702382,0.3007164274785497,0.16017419942593156,1.3303862631226482,0.95,percentile,500,271,True
roi,1,10,4,2,0.08,22.88,-0.9451959110477463,-0.983849210023296,-0.0386532989755497,0.321765417400166,-1.6781812989788123,-0.4068099614538774,0.95,percentile,500,271,True
roi,1,11,5,2,0.08,22.88,-0.4504002590508183,-0.4846300677101873,-0.03422980865936898,0.26001352714143355,-1.0263733375774837,-0.034870941564577054,0.95,percentile,500,271,True
